MPEG-7 Color Layout0,MPEG-7 Color Layout1,MPEG-7 Color Layout2,MPEG-7 Color Layout3,MPEG-7 Color Layout4,MPEG-7 Color Layout5,MPEG-7 Color Layout6,MPEG-7 Color Layout7,MPEG-7 Color Layout8,MPEG-7 Color Layout9,MPEG-7 Color Layout10,MPEG-7 Color Layout11,MPEG-7 Color Layout12,MPEG-7 Color Layout13,MPEG-7 Color Layout14,MPEG-7 Color Layout15,MPEG-7 Color Layout16,MPEG-7 Color Layout17,MPEG-7 Color Layout18,MPEG-7 Color Layout19,MPEG-7 Color Layout20,MPEG-7 Color Layout21,MPEG-7 Color Layout22,MPEG-7 Color Layout23,MPEG-7 Color Layout24,MPEG-7 Color Layout25,MPEG-7 Color Layout26,MPEG-7 Color Layout27,MPEG-7 Color Layout28,MPEG-7 Color Layout29,MPEG-7 Color Layout30,MPEG-7 Color Layout31,MPEG-7 Color Layout32,class1
52,15,16,27,18,17,13,16,17,16,9,10,13,16,16,16,16,17,15,14,15,19,15,16,24,17,16,37,16,15,16,16,16,BACTERIAL_LEAF_BLIGHT
51,13,18,27,17,20,14,14,18,12,9,12,12,15,16,15,16,18,18,15,16,19,14,17,24,17,18,37,16,15,16,15,16,BACTERIAL_LEAF_BLIGHT
52,18,18,28,14,15,16,15,14,11,8,18,15,15,16,16,15,16,16,13,16,15,18,16,27,15,15,36,16,16,16,15,15,BACTERIAL_LEAF_BLIGHT
47,21,22,29,17,15,16,15,14,8,12,11,15,16,16,16,15,15,16,13,17,14,18,17,26,17,16,35,16,16,16,15,15,BACTERIAL_LEAF_BLIGHT
50,17,19,28,17,15,16,16,14,14,16,14,17,16,15,16,16,16,15,15,11,14,17,15,28,16,16,36,16,15,14,15,15,BACTERIAL_LEAF_BLIGHT
53,21,18,27,17,16,16,15,11,11,13,13,14,16,15,16,15,14,16,16,18,15,19,16,26,18,16,37,16,15,14,15,16,BACTERIAL_LEAF_BLIGHT
48,19,25,26,16,17,16,15,15,10,18,12,16,15,16,15,15,16,14,14,10,12,19,20,27,17,17,38,16,16,14,15,15,BACTERIAL_LEAF_BLIGHT
52,18,21,28,17,15,16,15,12,7,10,13,14,15,16,16,15,15,16,19,18,16,17,18,26,16,17,37,16,16,15,16,16,BACTERIAL_LEAF_BLIGHT
52,18,22,27,17,16,16,15,10,7,12,14,14,15,16,16,15,15,17,20,19,18,17,18,24,16,17,37,17,16,15,16,16,BACTERIAL_LEAF_BLIGHT
49,18,21,28,17,16,16,16,14,7,13,14,15,16,16,16,16,15,15,15,18,15,17,17,26,17,15,36,16,16,17,15,16,BACTERIAL_LEAF_BLIGHT
